gene,log2FC,pval,is_DEG
Ctf19p,1.4882905788909953,0.00011538533920972833,True
serine/threonine protein kinase RIM11,1.3662306219925897,0.00011617806915353165,True
Aha1p,1.2487448106202494,0.00011720884812237259,True
ribosomal 60S subunit protein L26A,-1.0206483188309825,0.00011747292462449244,True
adenylosuccinase ADE13,-1.5700362205982703,0.00011780237993284466,True
"alpha,alpha-trehalase ATH1",3.0355735402785538,0.00011836185484760965,True
Yro2p,5.533119935730371,0.00011883562404819343,True
sterol esterase,-1.007499657615913,0.00011993894507140544,True
delta(24(24(1)))-sterol reductase,-1.0723660216923099,0.00012200021260229682,True
glucose-induced degradation complex subunit FYV10,2.201514212038988,0.0001233499135732167,True
Ast2p,1.7578994608703171,0.00012358848963703436,True
Thi73p,1.6699819111689629,0.00012512189578906162,True
Rup1p,1.006092541720184,0.00012622323441130494,True
Rev3p,1.197767961369789,0.00012701130450613242,True
hypothetical protein,2.827132022780168,0.0001270118489244892,True
Shc1p,3.619699782018408,0.00012723118443437763,True
Mag1p,1.1888825737065716,0.0001273296037166114,True
Irc18p,2.8770802810178524,0.00012786778282319964,True
Ran GTPase GSP2,3.051442065764154,0.00012898096726242895,True
hypothetical protein,2.713582770726912,0.00013091182397567328,True
hypothetical protein,5.0309526216498295,0.00013110152956054323,True
putative indolepyruvate decarboxylase family protein,2.071860092060649,0.00013789863028074566,True
Edc2p,1.953196127829119,0.00013909097069305417,True
putative protein kinase YPK2,2.3102087439836394,0.00014090640218235258,True
chaperone ATPase HSP104,3.0727730025531867,0.00014170141045379158,True
Ctp1p,-1.1935604011310277,0.00014182807038505842,True
SNAP receptor SNC1,1.3989603547998684,0.00014270527486177404,True
Ytp1p,1.8461902672687636,0.00014339103445633363,True
F1F0 ATP synthase subunit g,1.190227530181871,0.00014494069562176888,True
Spo22p,1.4068703385700645,0.00014503157869111077,True
high-mobility group nucleosome-binding protein,1.1025442707117934,0.00014555390936026114,True
Cmg1p,1.9409976262817743,0.00014562231684751132,True
hypothetical protein,1.916185489853575,0.000146182733375305,True
Shr5p,1.5890728894924289,0.00014652596378293028,True
NADHX dehydratase,2.447415771846938,0.00014718857987426997,True
glucose-induced degradation complex subunit GID8,1.387180443493481,0.00014762216416491813,True
allantoicase,1.661164152680838,0.00014871942045626007,True
Lam5p,1.7190007276638202,0.00014939970897411082,True
Cup9p,1.7900219544759883,0.0001494490886190413,True
Atg40p,1.9485548353572941,0.00015072802627188819,True
protein kinase regulatory subunit ATG17,1.4823349694716836,0.00015111389365771662,True
amidophosphoribosyltransferase,-1.6291649882799977,0.00015115209773288805,True
putative short-chain dehydrogenase/reductase,5.622646577127001,0.00015312956553939085,True
Tmc1p,1.4272822122937656,0.0001578359650576588,True
ribosomal 60S subunit protein L4A,-1.182536225707798,0.00015857757970543415,True
flavodoxin-like fold family protein,1.7547435169730354,0.0001600648487525802,True
Pex5p,1.1052233294636649,0.0001637087401967463,True
succinate-semialdehyde dehydrogenase (NAD(P)(+)),1.909845459106223,0.0001666763193674763,True
hypothetical protein,5.539726595512654,0.00016670852290989144,True
Atg33p,2.254965003597106,0.00016795025794295222,True
Agp3p,2.474093998481669,0.00016861714969601223,True
hexose transporter HXT10,2.935545752133499,0.00016862234907651368,True
DNA-(apurinic or apyrimidinic site) lyase APN2,1.0786634313392889,0.0001692735292127927,True
ribosomal 60S subunit protein L42B,-1.3696957073673186,0.00017026377484899557,True
DNA-binding transcription factor YAP1,1.126737712352197,0.00017036418432716605,True
Msc1p,5.361825308451719,0.0001706427686149676,True
ribosomal 40S subunit protein S25B,-1.2587254361717815,0.00017195135742432743,True
carbonyl reductase (NADPH-dependent) ARI1,-2.4554484533750816,0.00017222257079731973,True
Lia1p,-1.037014000676435,0.00017302280738140007,True
Hri1p,-1.0904725969204385,0.0001731174226570693,True
cytochrome c oxidase subunit VIa,1.3386696991708131,0.0001739527089201358,True
glucose-inactivated glycerol proton symporter STL1,3.3389226038767696,0.00017452518157961454,True
epoxide hydrolase,1.829585954555193,0.00017540276692537142,True
Ubx6p,2.3091514155931288,0.00017747874686619615,True
Hop1p,1.8850637980583511,0.00017787777887719162,True
Atg34p,4.194582252562721,0.00017813283998575633,True
hypothetical protein,-1.1792027521400592,0.00017815750953273577,True
serine/threonine protein kinase ATG1,2.1649651007874473,0.0001793260349669112,True
mitochondrial pyruvate carrier,-1.1779088887135494,0.0001799783772300841,True
IMP dehydrogenase IMD4,-2.073778077827823,0.00018062409689610133,True
Atg38p,1.3166299226241902,0.00018124550400342736,True
ribosomal 40S subunit protein S18A,-1.3164943787414476,0.00018256474028282326,True
ubiquitin-binding protein CUE5,1.045745461047206,0.00018276896410366415,True
alanine transaminase ALT2,1.6590764539508802,0.00018422501194356578,True
ammonium permease MEP1,1.0592587849296047,0.00018463353509125916,True
Mga2p,1.5937964840593857,0.0001861390577551387,True
Gre1p,9.280456451924705,0.00018673894130714783,True
ubiquinol--cytochrome-c reductase catalytic subunit CYT1,1.0357782757170373,0.00018708558860666328,True
histone acetyltransferase YNG2,1.1348163373309248,0.000187870839977134,True
putative aryl-alcohol dehydrogenase,1.8634206039402184,0.00018902025637066117,True
hypothetical protein,4.930350612930404,0.00018906518955021868,True
trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1,-1.3237627026131227,0.0001893723379193618,True
Mrp8p,2.040059094836529,0.00018969396153125495,True
phosphatase regulator,1.8513906734369536,0.00019508405116387174,True
bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase,-1.5618599355909035,0.00019555828251703052,True
Ett1p,-1.391936832738856,0.00019669562584839255,True
F1F0 ATP synthase subunit delta,1.297203301102856,0.0001967188654232385,True
Ran GTPase GSP1,-1.1239630732644237,0.0001980987558312783,True
autophagy protein ATG9,1.5051942871614434,0.00019832821790486101,True
